,LGWLIN,,LGW,LIN,LGWLIN
,LGWLIS,,LGW,LIS,LGWLIS
,LGWLPA,,LGW,LPA,LGWLPA
,LGWLXR,,LGW,LXR,LGWLXR
,LGWLYS,,LGW,LYS,LGWLYS
,LGWMAD,,LGW,MAD,LGWMAD
,LGWMAH,,LGW,MAH,LGWMAH
,LGWMJV,,LGW,MJV,LGWMJV
,LGWMLA,,LGW,MLA,LGWMLA
,LGWMPL,,LGW,MPL,LGWMPL
,LGWMRS,,LGW,MRS,LGWMRS
,LGWMUC,,LGW,MUC,LGWMUC
,LGWMXP,,LGW,MXP,LGWMXP
,LGWNAP,,LGW,NAP,LGWNAP
,LGWNCE,,LGW,NCE,LGWNCE
,LGWOLB,,LGW,OLB,LGWOLB
,LGWOPO,,LGW,OPO,LGWOPO
,LGWPFO,,LGW,PFO,LGWPFO
,LGWPMI,,LGW,PMI,LGWPMI
,LGWPMO,,LGW,PMO,LGWPMO
,LGWPRG,,LGW,PRG,LGWPRG
,LGWPSA,,LGW,PSA,LGWPSA
,LGWRAK,,LGW,RAK,LGWRAK
,LGWRHO,,LGW,RHO,LGWRHO
,LGWSKG,,LGW,SKG,LGWSKG
,LGWSOF,,LGW,SOF,LGWSOF
,LGWSSH,,LGW,SSH,LGWSSH
,LGWSVQ,,LGW,SVQ,LGWSVQ
,LGWSXF,,LGW,SXF,LGWSXF
,LGWTFS,,LGW,TFS,LGWTFS
,LGWTLS,,LGW,TLS,LGWTLS
,LGWVCE,,LGW,VCE,LGWVCE
,LGWVIE,,LGW,VIE,LGWVIE
,LGWVLC,,LGW,VLC,LGWVLC
,LGWVRN,,LGW,VRN,LGWVRN
,LGWZAG,,LGW,ZAG,LGWZAG
,LGWZRH,,LGW,ZRH,LGWZRH
,LGWZTH,,LGW,ZTH,LGWZTH
,LILNCE,,LIL,NCE,LILNCE
,LILTLS,,LIL,TLS,LILTLS
,LINLGW,,LIN,LGW,LINLGW
,LINORY,,LIN,ORY,LINORY
,LISAMS,,LIS,AMS,LISAMS
,LISBCN,,LIS,BCN,LISBCN
,LISBOD,,LIS,BOD,LISBOD
,LISBRS,,LIS,BRS,LISBRS
,LISBSL,,LIS,BSL,LISBSL
,LISCDG,,LIS,CDG,LISCDG
,LISCPH,,LIS,CPH,LISCPH
,LISEDI,,LIS,EDI,LISEDI
,LISFCO,,LIS,FCO,LISFCO
,LISFNC,,LIS,FNC,LISFNC
,LISGVA,,LIS,GVA,LISGVA
,LISLGW,,LIS,LGW,LISLGW
,LISLPL,,LIS,LPL,LISLPL
,LISLTN,,LIS,LTN,LISLTN
,LISLYS,,LIS,LYS,LISLYS
,LISMAD,,LIS,MAD,LISMAD
,LISMXP,,LIS,MXP,LISMXP
,LISOVD,,LIS,OVD,LISOVD
,LISSXF,,LIS,SXF,LISSXF
,LISTLS,,LIS,TLS,LISTLS
,LISVCE,,LIS,VCE,LISVCE
,LJUSTN,,LJU,STN,LJUSTN
,LPABSL,,LPA,BSL,LPABSL
,LPALGW,,LPA,LGW,LPALGW
